MKT_RF,SMB,HML,RF,date
0.0141,0.0098,0.0336,0.0031,196403
0.001,-0.0141,-0.0042,0.0029,196404
0.014199999999999999,-0.0087,0.018799999999999997,0.0026,196405
0.0127,-0.0028000000000000004,0.0072,0.003,196406
0.0174,0.0023,0.006999999999999999,0.003,196407
-0.0144,0.0009,0.0012,0.0028000000000000004,196408
0.0269,-0.0052,0.0165,0.0028000000000000004,196409
0.0059,0.0045000000000000005,0.011399999999999999,0.0029,196410
0.0,0.006,-0.0196,0.0029,196411
0.0003,-0.0024,-0.0258,0.0031,196412
0.0354,0.026699999999999998,0.002,0.0028000000000000004,196501
0.0044,0.0348,0.0019,0.003,196502
-0.0134,0.0179,0.010700000000000001,0.0036,196503
0.0311,0.011899999999999999,0.006999999999999999,0.0031,196504
-0.0077,0.0003,-0.016200000000000003,0.0031,196505
-0.055099999999999996,-0.0435,0.0058,0.0034999999999999996,196506
0.0143,0.0085,0.022099999999999998,0.0031,196507
0.0273,0.028399999999999998,-0.010700000000000001,0.0033,196508
0.0286,0.0062,-0.0011,0.0031,196509
0.026000000000000002,0.024300000000000002,0.016,0.0031,196510
-0.0003,0.046799999999999994,0.0023,0.0034999999999999996,196511
0.0101,0.0207,0.0208,0.0033,196512
0.0072,0.0385,0.035699999999999996,0.0038,196601
-0.0121,0.044500000000000005,0.0036,0.0034999999999999996,196602
-0.025099999999999997,0.0095,-0.020499999999999997,0.0038,196603
0.021400000000000002,0.034300000000000004,-0.0044,0.0034000000000000002,196604
-0.056600000000000004,-0.04650000000000001,-0.0165,0.0040999999999999995,196605
-0.0144,0.0106,0.0049,0.0038,196606
-0.0163,-0.0032,0.008199999999999999,0.0034999999999999996,196607
-0.0791,-0.0332,0.005600000000000001,0.0040999999999999995,196608
-0.0106,-0.011000000000000001,0.005,0.004,196609
0.038599999999999995,-0.0659,0.0281,0.0045000000000000005,196610
0.013999999999999999,0.0433,-0.046,0.004,196611
0.0013,0.018500000000000003,-0.0129,0.004,196612
0.0815,0.0843,0.0203,0.0043,196701
0.0078000000000000005,0.0337,-0.0226,0.0036,196702
0.039900000000000005,0.0174,0.0019,0.0039000000000000003,196703
0.038900000000000004,0.005699999999999999,-0.0254,0.0032,196704
-0.0433,0.02,0.0089,0.0033,196705
0.0241,0.0599,0.009399999999999999,0.0027,196706
0.0458,0.030899999999999997,0.0265,0.0031,196707
-0.0089,0.0048,0.0147,0.0031,196708
0.0311,0.030899999999999997,-0.024700000000000003,0.0032,196709
